user_id,live_city_id,desire_jd_city_id,desire_jd_industry_id,desire_jd_type_id,desire_jd_salary_id,cur_industry_id,cur_jd_type,cur_salary_id,cur_degree_id,birthday,start_work_date,experience
17e1b9f107dd1214bd78dec6d91593a4,551,"551,-,-",房地产/建筑/建材/工程,工程造价/预结算,100002000,房地产/建筑/建材/工程,土木/建筑/装修/市政工程,0200104000,大专,24,2017,停车|现场|凤凰|预算编制|建设|实习|专家|公园|预算软件|勘察|合同|知识|商务|单位|计量软件|隧道|协调|投标|商业|标书制作|住宅|技术|结算|桥梁|学习|土建|设计|标书|市场营销部|服务|进度|门窗|景观|推进|收款|资料|造价员|报告|运动|工程|工程项目|招投标|沟通|收集|管道|工业|可行性研究|铝合金|计量|市场营销|工程设计|业主|制作|预算员|道路|计价软件|编制|市政道路|市场|外联|建筑设计|市政|软件|车库|污水
0c02d9411e83ae0308cdc40700385d4c,763,"763,-,-",其他,化妆师,400106000,房地产/建筑/建材/工程,后期制作,0400106000,大专,24,2015,调色员|彩妆|护肤|布料|光源|客户|调色
1f4504451a08e1e99e0b394e03f24b43,530,"530,-,-","专业服务/咨询(财会/法律/人力资源等),教育/培训/院校","项目经理/项目主管,教学/教务管理人员,翻译（口译与笔译）",0,教育/培训/院校,项目管理/项目协调,1000115000,本科,33,2010,互联网参考模型osi七层|建设|英语|项目主管|签证|谈判|合同|crm系统|pl/sql|市场部|vip|标书制作|美国|留学|领导|项目流程|翻译|总裁助理|申请|网络安全|主持|咨询|协助|研发|编辑|交换|服务|word|渠道|维护|职业|文件|高中|速写|需求|反馈|招投标|office办公软件使用|沟通|制图软件|国际部|收集|行业|合作|控制|文化|技巧|学校|学生|策划|完善|市场|教育|前期|photoshop（ps）图像处理软件|学业|计划|外国语言文学|撰稿|员工|处理|office|标准|办公室|协调|教育工作者|方案|注册|统计|文案|发展|研究生|文书|webservice框架|驾照|审核|支持|课后|资料|标准化|执行|收费|sql server数据库|定制|投诉|指导|视频剪辑|助教|后期|课程|客户|培训|规划|市场营销|国际|流程|写作|制作|客户服务|代表|少儿英语|产品
127b43572875dea9ed858da73a651433,871,"5085,-,-",房地产/建筑/建材/工程,行政/后勤/文秘,200104000,旅游/度假,行政/后勤/文秘,0200104000,大专,24,2017,行政|酒店|后勤|温泉|文员|文秘|旅游
15c607e1798305fb9f2e525d964a1185,530,"530,-,-","礼品/玩具/工艺美术/收藏品/奢侈品,教育/培训/院校,媒体/出版/影视/文化传播","艺术/设计,教育/培训",600108000,广告/会展/公关,艺术/设计,0600108000,大专,24,2015,上色|产品开发|插画|纸张|老师|制作|3dmax|美术|视觉设计|视觉|vi|道具|设计师|动画|logo|学习能力|小学|画册
2e1fa5384caaa1757dc2db8d5b44c5cf,719,"719,-,-",教育/培训/院校,"教学/教务管理人员,销售行政专员/助理,后勤人员",600108000,房地产/建筑/建材/工程,外贸/贸易专员/助理,0200104000,本科,33,2007,计划|预算|外国语言文学|公司财务|预定|入库|对账|橱柜|分销商|系统|业务|保证|售后服务|英语教学|安装|效果|订购|厨房|内容|外销|英语老师|教学|安排|方案|下单|仓库|售后|统计|财务|库存|瓷砖|完善|顾客|发货|销售|门店|报价
08b7a0e07cc0d8213cc4da58db2db590,763,"763,-,-","专业服务/咨询(财会/法律/人力资源等),石油/石化/化工,房地产/建筑/建材/工程","会计/会计师,固定资产会计,税务专员/助理",800110000,房地产/建筑/建材/工程,财务/审计/税务,0600108000,本科,27,2014,催收|预算|银行|报税|做账|财务软件|处理|预算软件|会计工作|金蝶财务|办公室|说明书|企业财务|柜台|会计师|登记|资金|操作|事业单位|账务|申请|备案|结算|审计|转账|清理|统计|财务|协调能力|审计学|协助|企业|固定资产|erp系统|应收款|学院|项目部|环境|录入|审核|结账|发票|清算|维护|分析|培训班|成员|资料|材料|对账|总账|执行|报告|系统|会计|核对|社保|核算|沟通能力|归档|税务|成本核算|开票|撰写|流程|财务管理|会议记录|入账|制作|联网|往来|公积金|保管|收付|编制|盘点|报表|班主任|打印|出纳|报销|监控|适应能力|审计专员|登帐|账单|事务
1e6370900df60e46e4d3a7564943c00b,639,"639,-,-","房地产/建筑/建材/工程,加工制造（原料加工/模具）,贸易/进出口","销售业务,财务/审计/税务,采购/贸易",0,物业管理/商业中心,销售管理,0400106000,本科,21,2016,园林|互联网参考模型osi七层|文件|风险|处理|风控|接待|清洁|自我评价|投诉|设备|收集|陈列|运作|协调|客户|物业|培训|物业管理|职能|治安|验证|服务项目|回访|技巧|销售技能|管理员|发展|拓展|负责管理|管理工作|主持|区域|产品|物理|过程|维修|绿化|服务|监督|渠道
05b8622d1cac25339b43b39c52fa9a19,854,"854,-,-",房地产/建筑/建材/工程,"行政专员/助理,助理/秘书/文员",200104000,汽车/摩托车,,0200104000,大专,24,2015,外科|自我评价|人力资源专员|助理|人力资源管理|吃苦|行政助理|汽修|人力资源|汽车检测与维修
03aa33f2c60d24171ff00c19ae275ae8,613,"613,-,-",教育/培训/院校,行政专员/助理,800110000,酒店/餐饮,,0600108000,大专,21,2016,担当|行政专员|助理
